,ID,R,R_SD,G,G_SD,B,B_SD
1,cave-sid09,195.57,31.91,142.44,25.4,98.34,17.92
2,cave-ssid01,192.17,36.54,149.9,31.69,113.84,24.57
3,cave-ssid03,204.16,31.22,147.77,26.11,100.6,22.05
4,cave-ssid04,188.11,30.21,146.1,26.22,120.12,19.74
5,cave-ssid05,159.52,39.44,120.1,30.66,91.46,21.6
6,cave-ssid06,199.05,27.47,151.75,21.39,114.11,15.88
7,cave-ssid07,180.02,32.89,135.04,27.36,100.65,19.69
8,cave-ssid08-2,182.43,25.76,131.89,23.06,96.13,20.32
9,cave-ssid11,182.62,40.37,138.62,32.97,100.64,23.81
10,cave-ssid12,187.84,31.71,138,26.4,103.84,22.97
11,cave-ssid13,212.58,27.12,158.7,23.74,112.59,20.47
12,cave-ssid15,194.89,31.39,138.36,25.46,93.92,17.69
13,cave-ssid16,204.28,33.79,157.27,30.01,114.26,21.93
14,cave-ssid17,187.68,25.83,140.11,20.9,102.01,16.32
15,cave-ssid18,188,29.32,141.26,21.94,104.34,16.51
16,cave-ssid19,209.5,30.07,159.83,25.78,105.16,18.48
17,cave-ssid20,169.59,27.02,124.93,20.8,90.94,15.49
18,cave-ssid21,179.64,35.55,136.52,29.39,107.25,22.54
19,cave-ssid22,174.31,23.28,121.68,18.25,85.13,13.75
20,cave-ssid23,198.07,38.9,151.65,35.14,109.55,27.88
21,cave-ssid24,208.87,30.89,151.05,27.09,106.42,22.04
22,cave-ssid25,179.26,27.18,131.96,21.05,99.71,14.99
23,cave-ssid26,203.11,22.75,142.03,18.84,99.09,14.23
24,cave-ssid27-3,218.55,36.07,169.48,34.2,130.6,30.54
25,cave-ssid28,176.65,28.42,129.3,20.7,102.02,14.5
26,cave-ssid29,173.45,30.02,126.95,22.95,92.05,16.98
27,cave-ssid30-2,196.66,35.2,147.8,31.2,108.84,24.67
28,DB-sid01,212.65,27.02,165.69,24.21,125.67,21.46
29,DB-sid02,204.65,37.07,165.27,35.4,128.59,30.26
30,DB-sid03,197.49,23.92,145.46,19.62,92.89,15.09
31,DB-sid04-2,201.41,25.26,155.57,23.28,121.1,21.27
32,DB-sid05,191.9,36.11,146.28,32.37,106.79,25.14
33,DB-sid06,208.23,32.64,164.64,30.95,129.37,26.61
34,DB-sid07,207.58,30.34,160.95,29.4,120.42,27.78
35,DB-sid08,175.9,31.94,126.49,23.22,97.22,16.56
36,DB-sid09,194.32,23.43,148.29,20.69,114.38,17.23
37,DB-sid11,198.95,31.94,153.59,27.42,112.79,22.62
38,DB-sid12,190.9,30.37,140.08,24.23,102.26,18.82
39,DB-sid14,210.69,27.54,164.32,24.08,117.23,18.85
